sentiment,full_text
1,بفضل الله قبل قليل وخلال ٩ دقاءق فقط اخذت لقاح كورونا تنظيم ورعايه واهتمام يوكد ان الانسان اولا في السعوديه شكرا
0,لقاح كورونا اليوم مابدت الاعراض الا بعد ساعه مكسره من الابره الثانيه ومهدوده وقالوا هذي من الاعراض عشان الجسم يتعرف عليه
1,قبل موعد اخذي الجرعه الاولي من لقاح كورونا ظهر اليوم بساعتين تقريبا ووالدتي الغاليه في تواصل هاتفي معي لاينقطع
1,وخذينا الجرعه الاولي الحمدلله لقاح كورونا
1,اليوم اخذت الجرعه الاولي من لقاح كورونا عن طريق مقر احتفالات المزاحميه ومادعاني لنشر ذلك هو ما رايته من تنظيم راءع واستقب
1,اشكر حكومتنا الرشيده و وزاره الصحه و علي راسهم الدكتور توفيق الربيعه و انصح الجميع با اخذ لقاح الفايزر عن تجربه اثبتت نجاح اللقاح لاني مخالطه ثمان مصابين كرونا في وقت واحد كل يوم طول مده الحجر لقاح كورونا
2,اتمني ان يتم اعفاء من اخذوا جرعتين من التطعيم والتزموا بالارشادات الصحيه لثلاثه اسابيع من الحجر بعد السفر علي غرار ما فعلته
1,لقاح كورونا الحمد لله شكرا لدولتنا العظيمه
1,الحمد لله تلقيت اليوم الجرعه الاولي من لقاح كورونا في مركز لقاحات كورونا كوفيد بالرس روعه تنظيم ورقي بالتعامل و حسن الاست
1,اللهم لك الحمد اخذت اليوم الجرعه الاولي من لقاح كورونا الله ينفع به الحمد لله علي نعمه هذا الوطن شكرا من الاعماق لقيادتنا الرشيده التي جعلت صحه الانسان وسلامته اولا شكرا لوزاره الصحه والقاءمين علي تنظيم وتسهيل كافه الاجراءات
1,راجعت اليوم جميع المقالات العلميه بحثا عن مايثبت بالدليل العلمي ارتباط لقاحات كوفيد وخاصه من استرا زانيكا بحدوث جلطات وريديه لا يوجد مايدل علي وجود علاقه بين اللقاحات و حدوث الجلطات لقاح استرازينكا لقاح كورونا لقاح فايزر
1,الحمدالله حصلنا علي اعتماد توكلنا والجواز الصحي شكككككككرا السعوديه العظمي وزاره الصحه دام عزك يا اغلي وطن لقاح كور
2,تلقحتو  لقاح كورونا كورونا
1,تم بحمد الله وتوفيقه اخذ الجرعه الاولي من لقاح كورونا نسال الله العافيه و السلامه شكرا حكومتنا الرشيده شكرا ابطال الصحه لقاح كورونا انا سعودي
1,الشهاده من خارج الوطن لوطن اجاد وتفرد في منح اللقاح للمواطن والمقيم وبسلاسه متناهيه وتنظيم ابهر العالم شكرا وزاره الصحه
0,والمواعيد متي خذ الخطوه لقاح كورونا
1,الحمدلله اخذت اللقاح بالمدينه المنوره في العاليه تيسير وتنظيم وسهوله وسرعه اشكرك وطني علي كل ماتقدمه لنا لقاح كورونا
2,مساء الخير شاركنا تجربتك مع لقاح كورونا فايزر اكسفورد استرازينيكا الاعراض النتيجه وماهو لقاح كورونا ال
1,لقاح كورونا عسي الله ينفع به
1,الحمدلله لقاح كورونا
1,واخذت اللقاح ولله الحمد نصيحه للجميع لا تسمح للشاءعات بمنعك عن حمايه نفسك ومجتمعك من المرض لقاح استرازينكا كورونا لقاح كورونا
1,بعض الناس ترجح كفه الاشاعات علي صوت العلم والعقل في قرار اخذ لقاح كورونا بلا مبالغه ندفع ثمن الجهل والتجاهل في رفض
1,الحمد لله تلقيت اليوم الجرعه الاولي من لقاح كورونا في مركز لقاحات كورونا كوفيد بالرس روعه تنظيم ورقي بالتعامل و حسن الاستقبال من كافه الطاقم الطبي جهود تذكر وتشكر حفظ الله قيادتنا الرشيده لحرصها الداءم علي صحه الفرد والمجتمع و حفظ الله الجميع من كل سوء
1,اسبوع علي لقاح كورونا اللقاح هو اكسفورد الاعراض بسيطه جدا لم تستمر يومين وكانت بالنسبه لي حراره داخليه الام مفاصليه بسيطه نتيجه تلك الحراره خمول الاعراض بدات صباح الثلاثاء وتلاشت صباح الخميس
1,ابشركم اخذت لقاح كورونا و تعافيت من اعراضه اليوم
1,عسي الله ينفع به لقاح كورونا
1,مال احد منه الله اللي عزنا فخوره جدا كوني سعوديه و انتمي لهذا الوطن العظيم اللهم لك الحمد ما ادري ابدا بالكلام عن التنظيم او ابطال الصحه او سهوله الحصول علي اللقاح شكرا دولتنا علي جهودكم الجباره لقاح كورونا
2,اعطوني اراءكم عن لقاح كورونا اخذه او لا واذا ايه اي نوع افضل ولا مايفرق لقاح كورونا
1,شكرا وزاره الصحه علي التنظيم والاحترافيه الحمدلله اخذت لقاح كورونا الجرعه الاولي السعوديه
2,اتمني ان يتم اعفاء من اخذوا جرعتين من التطعيم والتزموا بالارشادات الصحيه لثلاثه اسابيع من الحجر بعد السفر علي غرار ما فعلته دوله قطر لانه من غير المعقول تقييد حرياتهم بعد التزامهم بارشادات الدوله الصحيه كورونا لقاح كورونا وزير الصحه وزاره الصحه
1,نعم محصن لاحد يكلمني نعم للتطعيم لقاح كورونا
2,اكيد طبيبه اعلم بحالته فما منعه الا لسبب لان الجمعيات العالميه في الكلي و زراعه الاعضاء ينصحون المرضي باخذ لقاح كورونا
0,لقاح كورونا موامره كاريكاتير امين الحباره عمليات التجميل لقاح كورونا
2,بليييييز مين يعرف وين احصل لقاح فايزر بالرياض لقاح كورونا
